joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.85916,-1.86234,0.00291528,0.00259995,-24,0,0.844
-1.85915,-1.86233,0.00294186,0.00259606,-25,0,0.848
-1.85914,-1.86232,0.00296856,0.00259389,-25,0,0.852
-1.85913,-1.8623,0.00299536,0.00259269,-25,0,0.856
-1.85912,-1.86229,0.00302228,0.00270707,-25,0,0.86
-1.8591,-1.86228,0.0030493,0.00277066,-24,0,0.864
-1.85909,-1.86227,0.00307644,0.00276767,-24,0,0.868
-1.85908,-1.86226,0.00310368,0.00257426,-27,0,0.872
-1.85907,-1.86225,0.00313104,0.00223663,-30,0,0.876
-1.85905,-1.86225,0.0031585,0.00204891,-32,0,0.88
-1.85904,-1.86224,0.00318607,0.00175278,-35,0,0.884
-1.85903,-1.86224,0.00321375,0.00158814,-37,0,0.888
-1.85902,-1.86223,0.00324154,0.0014966,-39,0,0.892
-1.859,-1.86222,0.00326944,0.00156075,-38,0,0.896
-1.85899,-1.86222,0.00329745,0.00167312,-38,0,0.9
-1.85898,-1.86221,0.00332556,0.00196569,-35,0,0.904
-1.85896,-1.8622,0.00335378,0.00220506,-33,0,0.908
-1.85895,-1.86219,0.00338211,0.00249155,-30,0,0.912
-1.85894,-1.86217,0.00341055,0.00272753,-28,0,0.916
-1.85892,-1.86216,0.0034391,0.00297379,-26,0,0.92
-1.85891,-1.86215,0.00346775,0.00322576,-24,0,0.924
-1.85889,-1.86213,0.00349651,0.00344255,-22,0,0.928
-1.85888,-1.86212,0.00352538,0.00352474,-22,0,0.932
-1.85887,-1.8621,0.00355436,0.00349373,-22,0,0.936
-1.85885,-1.86209,0.00358344,0.0033998,-24,0,0.94
-1.85884,-1.86208,0.00361263,0.00334757,-24,0,0.944
-1.85882,-1.86206,0.00364193,0.00328018,-25,0,0.948
-1.85881,-1.86205,0.00367133,0.00308931,-28,0,0.952
-1.85879,-1.86204,0.00370084,0.00286814,-30,0,0.956
-1.85878,-1.86203,0.00373045,0.00270682,-32,0,0.96
-1.85876,-1.86202,0.00376018,0.00261713,-33,0,0.964
-1.85875,-1.86201,0.00379,0.00260561,-34,0,0.968
-1.85873,-1.862,0.00381994,0.00263755,-34,0,0.972
-1.85872,-1.86199,0.00384998,0.00265531,-34,0,0.976
-1.8587,-1.86198,0.00388012,0.00270354,-34,0,0.98
-1.85869,-1.86197,0.00391037,0.0027687,-33,0,0.984
-1.85867,-1.86196,0.00394073,0.00295833,-32,0,0.988
-1.85866,-1.86194,0.00397119,0.00325551,-29,0,0.992
-1.85864,-1.86193,0.00400175,0.00349744,-27,0,0.996
-1.85862,-1.86191,0.00403243,0.00370866,-25,0,1
-1.85861,-1.86189,0.0040632,0.00386444,-24,0,1.004
-1.85859,-1.86188,0.00409408,0.00387436,-24,0,1.008
-1.85857,-1.86186,0.00412507,0.00380317,-25,0,1.012
-1.85856,-1.86185,0.00415615,0.0035335,-28,0,1.016
-1.85854,-1.86184,0.00418735,0.00326851,-31,0,1.02
-1.85852,-1.86183,0.00421865,0.00300612,-34,0,1.024
-1.85851,-1.86182,0.00425005,0.00289859,-35,0,1.028
-1.85849,-1.8618,0.00428155,0.0029922,-35,0,1.032
-1.85847,-1.86179,0.00431316,0.00308259,-34,0,1.036
-1.85846,-1.86178,0.00434487,0.00320955,-33,0,1.04
-1.85844,-1.86176,0.00437669,0.00331849,-33,0,1.044
-1.85842,-1.86175,0.00440861,0.00341741,-32,0,1.048
-1.8584,-1.86174,0.00444063,0.00358746,-31,0,1.052
-1.85839,-1.86172,0.00447275,0.00379705,-29,0,1.056
-1.85837,-1.8617,0.00450498,0.00406699,-27,0,1.06
-1.85835,-1.86168,0.00453731,0.00421707,-26,0,1.064
-1.85833,-1.86167,0.00456974,0.00437722,-24,0,1.068
-1.85831,-1.86165,0.00460228,0.00427451,-26,0,1.072
