joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term1[Nm], DOB Torque Term2[Nm], current_time
-0.268446,-0.26778,0.000959815,-6.89107e-06,1.11646,-6.25023e-08,-1.023,0.476
-0.268442,-0.26778,0.000975652,3.45595e-05,1.06412,1.65395e-05,-1.06454,0.48
-0.268438,-0.26778,0.000991611,1.91997e-05,1.14152,3.04692e-06,-1.06435,0.484
-0.268434,-0.26778,0.00100769,1.06665e-05,1.20382,-1.71931e-06,-1.09865,0.488
-0.26843,-0.26778,0.0010239,5.92584e-06,1.25791,-2.85075e-06,-1.14539,0.492
-0.268426,-0.26778,0.00104023,3.29214e-06,1.30761,-2.63685e-06,-1.1954,0.496
-0.268422,-0.26778,0.00105668,1.82896e-06,1.35504,-2.04997e-06,-1.24527,0.5
-0.268418,-0.26778,0.00107326,1.01609e-06,1.40138,-1.4639e-06,-1.29406,0.504
-0.268413,-0.26778,0.00108996,3.89524e-05,1.35969,1.43557e-05,-1.34175,0.508
-0.268409,-0.26778,0.00110678,2.16402e-05,1.44421,1.05305e-06,-1.34973,0.512
-0.268404,-0.26778,0.00112372,1.20223e-05,1.51167,-3.26072e-06,-1.39172,0.516
-0.2684,-0.26778,0.00114078,6.67908e-06,1.56983,-3.94804e-06,-1.44503,0.52
-0.268395,-0.26778,0.00115797,3.7106e-06,1.62299,-3.38032e-06,-1.5005,0.524
-0.268391,-0.26778,0.00117528,2.06144e-06,1.67355,-2.53738e-06,-1.55494,0.528
-0.268386,-0.267779,0.00119271,3.95331e-05,1.63524,1.35736e-05,-1.60765,0.532
-0.268381,-0.267779,0.00121026,2.19629e-05,1.72267,5.15317e-07,-1.61991,0.536
-0.268376,-0.267779,0.00122793,1.22016e-05,1.79278,-3.6168e-06,-1.66558,0.54
-0.268371,-0.267779,0.00124573,6.77866e-06,1.85345,-4.17772e-06,-1.72212,0.544
-0.268366,-0.267779,0.00126364,3.76592e-06,1.90905,-3.52561e-06,-1.78049,0.548
-0.268361,-0.267779,0.00128168,2.09218e-06,1.962,-2.62793e-06,-1.83762,0.552
-0.268356,-0.267779,0.00129984,1.16232e-06,2.01365,-1.83177e-06,-1.8929,0.556
-0.268351,-0.267779,0.00131812,6.45734e-07,2.06476,-1.22421e-06,-1.94657,0.56
-0.268345,-0.267779,0.00133651,3.58741e-07,2.11574,-7.94871e-07,-1.9991,0.564
